customer1,1.69,0.14,-0.636,0.069,-0.337
customer2,1.69,-0.322,0.852,0.844,-0.554
customer3,1.682,-0.488,-0.211,0.159,-0.1095
customer4,1.534,-0.785,0.002,0.273,-1.149
customer5,0.890,-0.427,-0.636,-0.604,-0.391
customer6,-0.233,-0.691,-0.636,-0.604,-0.391
customer7,-0.497,1.996,-0.707,-0.662,-1.311
customer8,-0.869,-0.268,-0.281,-0.262,3.396
customer9,-1.075,0.025,-0.423,-0.521,0.150
customer10,1.907,-0.884,2.979,2.130,0.366
customer11,0.478,-0.565,0.825,-0.068,-0.662
customer12,0.469,-0.939,0.073,-0.301,3.288
customer13,0.369,0.747,-0.636,-0.626,-0.283
customer14,0.453,1.517,0.073,-0.301,3.288
customer15,0.369,-.747,-0.636,-0.626,-0.283
customer16,0.312,-0.896,0.498,0.954,-0.500
customer17,-0.026,-0.681,0.073,0.325,0.366
customer18,-0.051,2.723,-0.636,-0.749,0.799
customer19,-0.092,2.879,-0.707,-0.734,-0.662
customer20,-0.150,-0.521,1.278,1.392,1.124
